customer_id,region,segment,category,order_date,order_id,sales,discount,profit
CUST-004,South,Corporate,Office Supplies,2026-01-05,ORD-0001,444.96,0.126,132.99
CUST-009,West,Home Office,Office Supplies,2026-01-05,ORD-0002,729.98,0.156,75.79
CUST-015,West,Consumer,Furniture,2026-01-05,ORD-0003,211.37,0.153,12.45
CUST-003,East,Corporate,Technology,2026-01-05,ORD-0091,465.8,0.176,105.95
CUST-002,East,Corporate,Furniture,2026-01-05,ORD-0090,393.01,0.188,84.16
CUST-001,East,Corporate,Technology,2026-01-05,ORD-0089,363.07,0.16,49.19
CUST-003,East,Corporate,Office Supplies,2026-01-12,ORD-0004,462.29,0.229,95.84
CUST-007,South,Consumer,Office Supplies,2026-01-12,ORD-0005,487.44,0.062,25.81
CUST-003,East,Corporate,Furniture,2026-01-12,ORD-0094,419.33,0.133,100.85
CUST-002,East,Corporate,Technology,2026-01-12,ORD-0093,333.53,0.176,79.35
CUST-001,East,Corporate,Technology,2026-01-12,ORD-0092,436.3,0.174,63.37
CUST-003,East,Corporate,Technology,2026-01-19,ORD-0097,460.36,0.17,111.68
CUST-002,East,Corporate,Furniture,2026-01-19,ORD-0096,415.08,0.18,59.06
CUST-001,East,Corporate,Furniture,2026-01-19,ORD-0095,331.03,0.151,81.04
CUST-006,Central,Home Office,Office Supplies,2026-01-19,ORD-0007,760.64,0.039,205.44
CUST-003,East,Corporate,Technology,2026-01-19,ORD-0006,647.47,0.05,32.98
CUST-002,East,Corporate,Office Supplies,2026-01-26,ORD-0099,467.01,0.134,61.34
CUST-008,East,Consumer,Furniture,2026-01-26,ORD-0009,523.74,0.127,140.28
CUST-003,East,Corporate,Office Supplies,2026-01-26,ORD-0008,774.66,0.16,182.39
CUST-003,East,Corporate,Technology,2026-01-26,ORD-0100,410.34,0.177,45.05
CUST-001,East,Corporate,Office Supplies,2026-01-26,ORD-0098,386.7,0.142,78.82
CUST-006,Central,Home Office,Office Supplies,2026-02-02,ORD-0011,203.16,0.204,59.87
CUST-006,Central,Home Office,Office Supplies,2026-02-02,ORD-0010,570.51,0.015,74.6
CUST-002,East,Corporate,Technology,2026-02-02,ORD-0102,381.81,0.172,68.15
CUST-001,East,Corporate,Office Supplies,2026-02-02,ORD-0101,445.57,0.102,75.88
CUST-003,East,Corporate,Technology,2026-02-02,ORD-0103,446.17,0.108,81.97
CUST-006,Central,Home Office,Office Supplies,2026-02-02,ORD-0012,563.79,0.151,123.53
CUST-013,East,Corporate,Furniture,2026-02-09,ORD-0014,873.62,0.054,190.4
CUST-001,East,Corporate,Office Supplies,2026-02-09,ORD-0104,486.42,0.104,81.68
CUST-002,East,Corporate,Technology,2026-02-09,ORD-0105,426.21,0.155,80.55
CUST-003,East,Corporate,Furniture,2026-02-09,ORD-0106,344.44,0.12,79.84
CUST-015,West,Consumer,Furniture,2026-02-09,ORD-0013,441.06,0.06,66.43
CUST-001,East,Corporate,Furniture,2026-02-09,ORD-0015,796.74,0.166,66.05
CUST-003,East,Corporate,Office Supplies,2026-02-16,ORD-0109,424.08,0.182,83.24
CUST-009,West,Home Office,Office Supplies,2026-02-16,ORD-0018,804.93,0.16,115.97
CUST-009,West,Home Office,Furniture,2026-02-16,ORD-0017,237.82,0.232,22.63
CUST-013,East,Corporate,Technology,2026-02-16,ORD-0016,854.86,0.226,73.83
CUST-001,East,Corporate,Technology,2026-02-16,ORD-0107,339.57,0.145,69.98
CUST-002,East,Corporate,Technology,2026-02-16,ORD-0108,410.69,0.181,69.77
CUST-001,East,Corporate,Furniture,2026-02-23,ORD-0021,385.19,0.008,31.09
CUST-009,West,Home Office,Office Supplies,2026-02-23,ORD-0020,529.06,0.081,125.83
CUST-015,West,Consumer,Office Supplies,2026-02-23,ORD-0019,276.38,0.01,74.36
CUST-001,East,Corporate,Technology,2026-02-23,ORD-0110,381.23,0.156,60.77
CUST-002,East,Corporate,Office Supplies,2026-02-23,ORD-0111,448.86,0.138,95.75
CUST-003,East,Corporate,Office Supplies,2026-02-23,ORD-0112,400.73,0.134,89.77
CUST-003,East,Corporate,Office Supplies,2026-03-02,ORD-0115,472.07,0.158,94.28
CUST-002,East,Corporate,Technology,2026-03-02,ORD-0114,442.58,0.103,70.14
CUST-001,East,Corporate,Furniture,2026-03-02,ORD-0113,376.19,0.184,62.86
CUST-008,East,Consumer,Furniture,2026-03-02,ORD-0023,362.25,0.148,50.3
CUST-015,West,Consumer,Furniture,2026-03-02,ORD-0022,619.36,0.107,166.11
CUST-001,East,Corporate,Office Supplies,2026-03-09,ORD-0116,435.53,0.158,71.03
CUST-007,South,Consumer,Technology,2026-03-09,ORD-0025,84.25,0.188,21.28
CUST-003,East,Corporate,Furniture,2026-03-09,ORD-0118,499.81,0.135,83.52
CUST-014,South,Consumer,Office Supplies,2026-03-09,ORD-0024,707.5,0.227,62.09
CUST-010,South,Consumer,Furniture,2026-03-09,ORD-0026,423.5,0.204,22.69
CUST-002,East,Corporate,Office Supplies,2026-03-09,ORD-0117,336.7,0.129,55.42
CUST-011,West,Home Office,Furniture,2026-03-16,ORD-0028,242.79,0.091,33.14
CUST-003,East,Corporate,Technology,2026-03-16,ORD-0029,857.46,0.143,101.08
CUST-010,South,Consumer,Furniture,2026-03-16,ORD-0027,730.28,0.128,77.85
CUST-003,East,Corporate,Furniture,2026-03-16,ORD-0121,398.77,0.169,91.71
CUST-002,East,Corporate,Technology,2026-03-16,ORD-0120,375.43,0.127,87.35
CUST-001,East,Corporate,Technology,2026-03-16,ORD-0119,374.33,0.158,87.35
CUST-002,East,Corporate,Office Supplies,2026-03-23,ORD-0123,384.05,0.183,65.69
CUST-015,West,Consumer,Office Supplies,2026-03-23,ORD-0031,815.16,0.186,159.09
CUST-002,East,Corporate,Technology,2026-03-23,ORD-0030,444.47,0.245,79.51
CUST-003,East,Corporate,Technology,2026-03-23,ORD-0124,453.58,0.146,70.76
CUST-001,East,Corporate,Furniture,2026-03-23,ORD-0122,362.59,0.149,47.03
CUST-001,East,Corporate,Office Supplies,2026-03-30,ORD-0125,409.18,0.12,84.28
CUST-002,East,Corporate,Furniture,2026-03-30,ORD-0126,454.1,0.106,95.33
CUST-014,South,Consumer,Office Supplies,2026-03-30,ORD-0033,432.6,0.13,48.78
CUST-003,East,Corporate,Furniture,2026-03-30,ORD-0127,463.49,0.145,93.83
CUST-007,South,Consumer,Technology,2026-03-30,ORD-0032,800.11,0.103,53.75
CUST-015,West,Consumer,Furniture,2026-03-30,ORD-0034,740.95,0.169,153.68
CUST-002,East,Corporate,Furniture,2026-04-06,ORD-0129,427.43,0.126,76.38
CUST-009,West,Home Office,Furniture,2026-04-06,ORD-0037,575.1,0.12,114.26
CUST-003,East,Corporate,Furniture,2026-04-06,ORD-0036,254.58,0.229,66.2
CUST-014,South,Consumer,Technology,2026-04-06,ORD-0035,352.8,0.1,35.54
CUST-001,East,Corporate,Furniture,2026-04-06,ORD-0128,349.23,0.164,54.65
CUST-003,East,Corporate,Office Supplies,2026-04-06,ORD-0130,426.2,0.12,104.12
CUST-007,South,Consumer,Technology,2026-04-13,ORD-0039,600.89,0.046,91.86
CUST-010,South,Consumer,Technology,2026-04-13,ORD-0038,331.46,0.24,68.62
CUST-001,East,Corporate,Furniture,2026-04-13,ORD-0131,357.83,0.131,39.4
CUST-003,East,Corporate,Furniture,2026-04-13,ORD-0133,339.11,0.114,72.99
CUST-002,East,Corporate,Furniture,2026-04-13,ORD-0132,384.58,0.177,79.39
CUST-002,East,Corporate,Office Supplies,2026-04-20,ORD-0135,424.18,0.177,64.3
CUST-003,East,Corporate,Technology,2026-04-20,ORD-0136,351.4,0.144,60.93
CUST-001,East,Corporate,Technology,2026-04-20,ORD-0040,748.48,0.182,58.61
CUST-014,South,Consumer,Technology,2026-04-20,ORD-0041,737.67,0.219,133.39
CUST-001,East,Corporate,Furniture,2026-04-20,ORD-0134,397.62,0.192,78.91
CUST-001,East,Corporate,Furniture,2026-04-27,ORD-0137,328.34,0.144,39.52
CUST-002,East,Corporate,Office Supplies,2026-04-27,ORD-0138,327.61,0.117,46.68
CUST-003,East,Corporate,Furniture,2026-04-27,ORD-0139,492.34,0.103,61.42
CUST-014,South,Consumer,Office Supplies,2026-04-27,ORD-0042,118.25,0.008,13.39
CUST-001,East,Corporate,Technology,2026-04-27,ORD-0043,283.83,0.047,16.96
CUST-009,West,Home Office,Furniture,2026-04-27,ORD-0044,564.12,0.042,31.18
CUST-007,South,Consumer,Furniture,2026-05-04,ORD-0045,849.44,0.135,214.82
CUST-001,East,Corporate,Furniture,2026-05-04,ORD-0140,394.87,0.102,66.62
CUST-002,East,Corporate,Technology,2026-05-04,ORD-0141,332.58,0.127,42.44
CUST-003,East,Corporate,Technology,2026-05-04,ORD-0142,423.43,0.141,68.87
CUST-006,Central,Home Office,Furniture,2026-05-04,ORD-0047,737.36,0.24,194.3
CUST-007,South,Consumer,Office Supplies,2026-05-04,ORD-0046,580.82,0.048,112.45
CUST-001,East,Corporate,Furniture,2026-05-11,ORD-0048,357.7,0.08,73.92
CUST-001,East,Corporate,Office Supplies,2026-05-11,ORD-0143,463.37,0.116,108.44
CUST-003,East,Corporate,Technology,2026-05-11,ORD-0145,420.07,0.177,102.08
CUST-002,East,Corporate,Office Supplies,2026-05-11,ORD-0049,733.92,0.078,182.95
CUST-002,East,Corporate,Technology,2026-05-11,ORD-0144,433.66,0.105,86.51
CUST-007,South,Consumer,Office Supplies,2026-05-18,ORD-0052,598.2,0.206,150.08
CUST-009,West,Home Office,Office Supplies,2026-05-18,ORD-0051,603.77,0.152,44.72
CUST-005,Central,Home Office,Furniture,2026-05-18,ORD-0050,708.82,0.221,70.4
